date,deck_name,cards_reviewed,correct,time_spent_min,language
2025-01-01,French Core 5K,88,59,23.5,French
2025-01-03,German Top 4K,50,33,11.7,German
2025-01-04,Spanish Travel,100,82,16.2,Spanish
2025-01-05,Spanish 1000,91,82,18.9,Spanish
2025-01-06,JLPT N4,107,75,28.5,Japanese
2025-01-07,French Listening,27,22,6.7,French
2025-01-08,German Grammar,66,48,20.4,German
2025-01-08,JLPT N4,119,86,31.5,Japanese
2025-01-09,German Top 4K,85,65,25.6,German
2025-01-09,Spanish 1000,82,63,28.1,Spanish
2025-01-09,French Core 5K,117,95,36.0,French
2025-01-10,JLPT N4,83,68,20.0,Japanese
2025-01-11,German Top 4K,113,97,31.6,German
2025-01-11,JLPT N4,77,56,17.5,Japanese
2025-01-11,French Listening,64,42,15.5,French
2025-01-12,French Core 5K,118,86,35.1,French
2025-01-13,German Grammar,71,57,23.2,German
2025-01-13,French Verbs,90,66,21.0,French
2025-01-13,JLPT N5 Kanji,107,97,36.5,Japanese
2025-01-14,Spanish Travel,49,32,15.5,Spanish
2025-01-15,Spanish Verbs,88,66,23.2,Spanish
2025-01-17,French Listening,91,69,20.9,French
2025-01-17,Spanish 1000,81,68,13.2,Spanish
2025-01-18,Spanish 1000,63,52,10.7,Spanish
2025-01-19,Core 2K JP,29,26,7.9,Japanese
2025-01-19,German Top 4K,101,73,22.2,German
2025-01-20,German Grammar,81,64,13.5,German
2025-01-21,JLPT N5 Kanji,108,75,16.7,Japanese
2025-01-23,French Listening,58,54,18.7,French
2025-01-24,Core 2K JP,65,57,16.7,Japanese
2025-01-25,Spanish Travel,120,113,38.5,Spanish
2025-01-26,Spanish Verbs,113,74,17.6,Spanish
2025-01-26,French Verbs,80,58,23.1,French
2025-01-26,German Grammar,77,68,22.7,German
2025-01-27,French Verbs,45,33,11.1,French
2025-01-27,German Verbs,20,15,5.6,German
2025-01-27,JLPT N4,30,27,5.2,Japanese
2025-01-27,Spanish Verbs,120,103,22.8,Spanish
2025-01-29,French Verbs,79,60,26.8,French
2025-01-29,JLPT N4,40,28,7.0,Japanese
2025-01-30,Spanish Travel,64,44,16.6,Spanish
2025-01-30,Core 2K JP,21,18,6.2,Japanese
2025-01-30,German Top 4K,87,76,15.5,German
2025-02-01,French Verbs,84,60,22.5,French
2025-02-01,Spanish Verbs,89,69,15.7,Spanish
2025-02-01,German Verbs,65,59,18.4,German
2025-02-02,Spanish 1000,87,69,28.2,Spanish
2025-02-02,Core 2K JP,97,63,30.1,Japanese
2025-02-03,French Listening,27,20,6.8,French
2025-02-04,French Core 5K,51,36,8.1,French
2025-02-04,Core 2K JP,84,65,13.1,Japanese
